Family	Family_Ecology	Genera_in_Fam	Spp_in_Fam	Spp_in_genus	Species_Albatross_name	Species_valid_name	Species_Code	Common_name	General_Fishing_Pressure	Different_fishing_pressure_depending_on_locality	Habitat_1	Authority	No_of_Alb_sites	Alb_sites	USNM_lot_No_(number_of_indiv)	No_of_C_sites	C_sites	Fising_pressure?	Trophic_group	Diet	Habitat_2	Depth_(m)	Behavior	Global_Distribution 	Regional_Distribution	Max_Length_(cm)	Notes	Red_list_status	References
Ambassidae	Tropical	8	51	69	Ambassis_buruensis	Ambassis_buruensis	Abu	Buru_glass_perchlet	unfished	N	estuarine	NA	5	Ragay_River	180035(37)	1	Pasacao	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ambassidae	Tropical	8	51	69	Ambassis_gymnocephalus	Ambassis_gymnocephalus	Agy	Bald_glassy	minor commercial; bait occasionally	N	estuarine	NA	2	Manila_Bay,_Manila_Bay	180076(43),_180064(46)	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ambassidae	Tropical	8	51	69	Ambassis_interrupta	Ambassis_interrupta	Ain	Long-spined glass perchlet	minor commercial	N	estuarine	NA	3	Port_Caltom,_Endeavor_Strait,_Pancol	180123(97),_180120(31),_180127(25)	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	Ambassis_kopsii	Ambassis_kopsii	Ako	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ambassidae	Tropical	8	51	69	Ambassis_vaivasensis	Ambassis_macracanthus	Ama	Estuarine_glass_perchlet	unfished	NA	estuarine	NA	7	Puerto_Princessa,_Hinunangan_Bay,_Camp_Overton,_Paluan_River,_Tayabas_River,_Tayabas_River,_Yaua_River	180097(32),_180088(65),_180090(36),_180094(75),_180096(54),_180100(60),_180089(39)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ambassidae	Tropical	8	51	69	Ambassis_urotaenia	Ambassis_urotaenia	Aur	Banded-tail_glassy_perchlet	unfished	N	estuarine	NA	8	Canmahala_Bay,_Ragay_River,_Santiago_River,_Mahinog,_Malaympaya_Sound,_Mahinog,_Port_San_Vicente, Panabutan_Bay	180048(45),_180061(64),_180035(36),_444969(26),_180062(42),_180050(66),_180063(26),_180049(26)	3	Pasacao,_Ragay_River,_Hamilo_Cove	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atherinidae	Tropical_to_temperate;_FW_50_spp.	14	71	3	Atherinomorus_endrachtensis	Atherinomorus_endrachtensis	Aen	Eendracht_Land_Silverside	unfished	N	mangroves	Quoy_&_Gaimard,_1825)	3	Jamelo_Cove_(Hamilo),_Port_Busin,_Port_San_Vicente	NA	NA	NA	Fisheries:_no_interest;_occasional_bait	NA	NA	Marine,_brackish;_reef_associated	NA	schooling-_N._Australia	Western_Central_Pacific	Philippines_and_Micronesia_to_N._Australia_and_Solomon_Islands	9	NA	Not_Evaluated	Fishbase-_https://www.fishbase.de/summary/Atherinomorus-endrachtensis.html
NA	NA	NA	NA	NA	Canthigaster_compressa	Canthigaster_compressa	Cco	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pomacentridae	Tropical	NA	NA	NA	Chromis_viridis	Chromis_viridis	Cvi	NA	H (Top 1 aquarium fish in PH)	Y	coral reef	NA	1	Batag_Island,_Northern_Samar	combined lots of: 364139 (1), 96463 (3), 96400 (13), 96459(12), 96429(12), total: 41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	Moolgarda_seheli	Crenimugil_seheli	Cse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Caesionidae	Tropical_and_subtropical	4	23	1	Dipterygonotus_balteatus	Dipterygonotus_balteatus	Dba	Mottled_fusilier	L-M (NSAP, not commonly encountered)	N	NA	Valenciennes,_1830	4	Batangas,_Cebu_market,_Varadero_Bay,_Tañun_Point	NA	NA	NA	NA	Planktivore	Feeds_on_zooplankton	Marine;_reef-associated	37_-_91	Primarily_a_near-shore_pelagic_species,_but_swims_mainly_in_open_water_away_from_reefs._Forms_dense_aggregations._Mixed_with_other_planktivores_and_is_easily_overlooked._Oviparous,_with_numerous,_small_pelagic_eggs	Indo-West_Pacific	South_and_East_Africa_and_Gulf_of_Aden_east_to_Philippines_and_Solomon_Islands,_north_to_Taiwan,_south_to_northern_Australia;_eastern_Mediterranean_Sea_(Red_Sea_immigrant)	14	Reef-dependent_	Least_Concern	Fishbase-_Carpenter,_K.E.,_1987._Revision_of_the_Indo-Pacific_fish_family_Caesionidae_(Lutjanoidea),_with_descriptions_of_five_new_species._Indo-Pac._Fish._(15):56_p._(Ref._1723)
Atherinidae	NA	14	71	3	Doboatherina_duodecimalis	Doboatherina_duodecimalis	Adu	Tropical_Silverside	L-M (used as bait)	N	mangroves	Valenciennes,_1835	16	Atulayan_Bay,_Bagatao_Island,_Balamban, Dos_Amigos_Bay,_Malcochin_Harbor_[Malbuching],_Mantaguin_Bay,_Matnog_Bay,_Olongapo,_Parang,_Port_Busin,_Port_Caltom,_Puerto_Galera,_Tagbilaran_Channel,_Tataan_Pass_Anchorage,_Varadero_Bay,_Ragay_River	136842(45)	4	Subic_Bay	Fisheries:_no_interest;_occasional_bait	NA	zooplankton	Marine,_FW,_demersal	4	schooling	Indo-West_Pacific	Aldabra,_Comoros_and_Madagascar_to_the_Solomon_Islands,_Philippines_and_Caroline_Islands,_to_New_Caledonia	11	oceanodromous. Classified into a new genus by Sasaki and Kimura, 2020	NA	Fishbase-_https://www.fishbase.de/summary/Atherinomorus-duodecimalis.html
Engraulidae	NA	NA	NA	NA	Encrasicholina_pseudoheteroloba	Encrasicholina_pseudoheteroloba	Eps	Shorthead_anchovy	M? (not familiar with what species are in the markets or the ones sold in dry markets)	N	NA	NA	1	Bais_Bay	138391(2068)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lot #138391 was labelled as A. zollingeri	NA	NA
Engraulidae	NA	NA	NA	NA	Encrasicholina_punctifer	Encrasicholina_punctifer	Epu	Buccaneer_anchovy	M? (not familiar with what spcies are in the markets or the ones sold in dry markets)	N	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leiognathidae	Tropical	NA	NA	NA	Leiognathus_leuciscus	Equulites_leuciscus	Lle	Whipfin_ponyfish	H (NSAP)	N	NA	NA	6	Jamelo_Cove_(Hamilo),_Paluan_River,_Tilig_Bay_[Tilik],_Abuyog,_Cavite,_Mantaguin_Bay,_couldn't_find_lots?,_check_ID.	191976(50)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gunther 1860. Species code after the old name.	NA	NA
Apogonidae	Tropical_and_subtropical	41	353	NA	Ostorhinchus_thermalis	Fibramia_thermalis	Fth	Half-barred_cardinal	unfished	N	sandy; sheltered reefs	Cuvier,_1829	1	Gumila_Reef	NA	NA	NA	NA	NA	NA	Marine;_reef-associated	20	Found_in_deep_coastal_reefs._Form_small_schools_with_outcrops_on_reef_on_sand_to_depths_of_20_m;_or_among_rocks_or_corals_of_shallow_sheltered_lagoons;_often_in_seagrass_beds._A_nocturnal_species	Indo-Pacific	south_to_Natal,_South_Africa_and_east_to_western_Pacific	8.5	Mouthbrooders,_Nocturnal_species	Not_Evaluated	Fishbase-_Kailola,_P.J.,_1991._The_fishes_of_Papua_New_Guinea:_a_revised_and_annotated_checklist._Vol._III._Gobiidae_to_Molidae._Research_Bulletin_No._41,_Research_Section,_Dept._of_Fisheries_and_Marine_Resources,_Papua_New_Guinea._153_p.
Leiognathidae	NA	NA	NA	NA	Gazza_minuta	Gazza_minuta	Gmi	Toothpony	fished (commonly caught, NSAP)	N	NA	NA	3	Butauanan_Bay,_Dagupan_(Pt._Guecet),_Jamelo_Cove_(Hamilo)	191914(215)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gerreidae	Tropical	NA	NA	NA	Gerres_macracanthus	Gerres_macracanthus	Gma	Longspine_silverbiddy	M? (caught, but not in large quantities, part of NSAP)	N	sandy	NA	3	Catbalogan,_Mantaguin_Bay,_Ragay_River	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gerreidae	Tropical	NA	NA	NA	Gerres_oyena	Gerres_oyena	Goy	Common_silverbiddy	L-M? (G. filamentosus, G. erythrourus, G. oyena & P. longimanus are the more common species from Gerreidae)	N	sandy	NA	1	Ragay_River	183334(32)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gobiidae	NA	NA	NA	NA	Glossogobius_giuris	Glossogobius_giuris	Ggi	NA	NA	NA	estuarine; freshwater	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	Gnatholepis_ophthalmotaenia	Gnatholepis_ophthalmotaenia	Gop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Labridae	Tropical	NA	NA	NA	Halichoeres_miniatus	Halichoeres_miniatus	Hmi	Circle-cheek_wrasse	L-M (Utilized in aquarium fishing, but localized)	Y	coral reef; algal beds	NA	3	Basud_River,_Maculabo_Id., Batan Id.	153965(48),153966(48),153963(25)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clupeidae	Tropical	NA	NA	NA	Herklotsichthys_quadrimaculatus	Herklotsichthys_quadrimaculatus	Hqu	Bluestripe_herring	L-M? (Not common species encountered, but could be dried and eaten!)	N	NA	NA	4	Inamucan_Bay,_Nababuy_Id.,_Nasugbu,_Port_Matalvi_reef	190070(59)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atherinidae	Tropical	NA	NA	NA	NA	Hypoatherina_sp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atherinidae	Tropical	NA	NA	NA	Hypoatherina_temminckii	Hypoatherina_temminckii	Hte	Samoan_silverside	M? (Enchrasicholina is one ofthe common genera of engraulids encountered and eaten)	N	mangroves?	NA	9	Jolo_Island,_Matnog_Bay,_Port_Busin,_Port_Matalvi_reef,_Puerto_Galera,_Tataan_Pass_Anchorage,_Ticao_Pass,_Varadero_Bay,_Canmahala_Bay	136734(115),_136694(132),_136808(39),_136697(39)	NA	Bongao(61)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leiognathidae	Tropical	NA	NA	NA	Leiognathus_equula	Leiognathus_equula	Leq	Common_ponyfish	H (NSAP)	N	soft bottom; estuarine	NA	3	Basud_River,_Jamelo_Cove_(Hamilo),_Malcochin_Harbor_[Malbuching], Linapacan_Island	139635(32),_139636(63)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apogonidae	Tropical_and_subtropical	41	353	NA	Ostorhinchus fasciatus	Ostorhinchus fasciatus	Ofa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apogonidae	Tropical_and_subtropical	41	353	NA	Ostorhinchus jenkinsi	Ostorhinchus jenkinsi	Oje	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apogonidae	Tropical_and_subtropical	41	353	NA	Ostorhinchus parvulus	Ostorhinchus parvulus	Opa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apogonidae	Tropical_and_subtropical	41	353	NA	Ostorhinchus_bryx	Ostorhinchus_bryx	Obr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apogonidae	Tropical_and_subtropical	41	353	NA	Ostorhinchus_chrysopomus	Ostorhinchus_chrysopomus	Och	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apogonidae	Tropical_and_subtropical	41	353	NA	Ostorhinchus_nigrocincta	Ostorhinchus_nigrocincta	Oni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gobiidae	Tropical	NA	NA	NA	Periophthalmus_argentilineatus	Periophthalmus_argentilineatus	Par	Barred_mudskipper	unfished	N	soft bottom intertidal; mangroves	NA	2	Port_San_Vicente,_Ragay_River	Cam-2019-015_023(25),_Cam-2019-016_027(62), 161008(30)	1	Pasacao	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Plotosidae	Tropical	NA	NA	NA	Plotosus_lineatus	Plotosus_lineatus	Pli	Striped_eel_catfish	M (Utilized for aquarium trade, monitored by NSAP in landings)	N	sandy areas; seagrass beds; coral reef	NA	3	Port_Matalvi,Romblon,_Candaraman_Is	Port_Matalvi_139012(163);_Romblon_139013(19);_Candaraman_Is_239000(17)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pomacentridae	Tropical	NA	NA	NA	Pomacentrus_brachialis	Pomacentrus_brachialis	Pbr	NA	L (ubiquitous!)	N	coral reef	NA	6 to 8	Burias_Island,_Tawi-Tawi,_Mindoro,_Biri_Island,_Romblon,_Batan_Island	Batan_Is_total_24:_97467(17), 97574(1), 97474(6);_Tataan_97514(21),Romblon_total_24:_97439(4),97537(2),97594(1),97593(1),149153(1),97562(3),97440(9),97670(3);Burias_Is_97487(35);_Port_Maricaban_total_14,_97714 (1), 97497(1),97715 (1), 97672(4), 97475(7),_Puerto_Galera_Varadero_Bay_&Verde_Island_total_19:_USNM 97521(3),97661(1),97614(1),97445(5),97579(1),_97580(1),97617(1),97491(1), 97686(1),97660(1),97536(3);_Sablayan_total_14:_USNM_350078(1),_97584(1),_97458(6),_97525(6); Balicuatro_Is_&_Batag_Is_total_24:_97583(1),97693(1), 97662(1),97665(1),97449(4),97530(4),97638(2),97518(1),97544(6),97675(3)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
